participantId,angle,response,feedback,trial,correct,phase
089D1D1E3AB24456A15FE65A0F644445,42.png,1,0,24,0,practice
089D1D1E3AB24456A15FE65A0F644445,84.png,1,NA,25,NA,test
089D1D1E3AB24456A15FE65A0F644445,84.png,1,NA,26,NA,test
089D1D1E3AB24456A15FE65A0F644445,49.png,1,NA,27,NA,test
089D1D1E3AB24456A15FE65A0F644445,49.png,1,NA,28,NA,test
089D1D1E3AB24456A15FE65A0F644445,21.png,1,NA,29,NA,test
089D1D1E3AB24456A15FE65A0F644445,21.png,1,NA,30,NA,test
089D1D1E3AB24456A15FE65A0F644445,56.png,1,NA,31,NA,test
089D1D1E3AB24456A15FE65A0F644445,56.png,1,NA,32,NA,test
089D1D1E3AB24456A15FE65A0F644445,14.png,1,NA,33,NA,test
089D1D1E3AB24456A15FE65A0F644445,14.png,1,NA,34,NA,test
089D1D1E3AB24456A15FE65A0F644445,63.png,1,NA,35,NA,test
089D1D1E3AB24456A15FE65A0F644445,63.png,1,NA,36,NA,test
089D1D1E3AB24456A15FE65A0F644445,7.png,1,NA,37,NA,test
089D1D1E3AB24456A15FE65A0F644445,7.png,1,NA,38,NA,test
089D1D1E3AB24456A15FE65A0F644445,42.png,1,NA,39,NA,test
089D1D1E3AB24456A15FE65A0F644445,42.png,1,NA,40,NA,test
089D1D1E3AB24456A15FE65A0F644445,70.png,1,NA,41,NA,test
089D1D1E3AB24456A15FE65A0F644445,70.png,1,NA,42,NA,test
089D1D1E3AB24456A15FE65A0F644445,77.png,1,NA,43,NA,test
089D1D1E3AB24456A15FE65A0F644445,77.png,1,NA,44,NA,test
089D1D1E3AB24456A15FE65A0F644445,28.png,1,NA,45,NA,test
089D1D1E3AB24456A15FE65A0F644445,28.png,1,NA,46,NA,test
089D1D1E3AB24456A15FE65A0F644445,35.png,1,NA,47,NA,test
089D1D1E3AB24456A15FE65A0F644445,35.png,1,NA,48,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,1,0,1,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,1,0,2,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,1,1,3,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,1,0,4,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,1,0,5,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,1,6,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,1,1,7,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,0,0,8,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,0,0,9,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,1,10,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,1,0,11,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,1,12,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,0,13,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,0,0,14,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,1,0,15,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,1,16,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,1,0,17,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,0,0,18,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,1,19,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,1,20,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,0,0,21,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,1,22,0,practice
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,0,0,23,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,0,24,1,practice
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,NA,25,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,42.png,0,NA,26,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,7.png,0,NA,27,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,7.png,0,NA,28,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,70.png,0,NA,29,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,70.png,0,NA,30,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,21.png,0,NA,31,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,21.png,0,NA,32,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,49.png,0,NA,33,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,49.png,0,NA,34,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,14.png,0,NA,35,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,14.png,0,NA,36,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,77.png,0,NA,37,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,77.png,0,NA,38,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,63.png,0,NA,39,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,63.png,0,NA,40,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,35.png,0,NA,41,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,35.png,0,NA,42,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,28.png,0,NA,43,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,28.png,0,NA,44,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,0,NA,45,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,56.png,0,NA,46,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,84.png,0,NA,47,NA,test
091D6981D9EC4C80A67D5DBC7B6851CF,84.png,0,NA,48,NA,test
09E841DE42B04399AD7A4B42F569C40A,42.png,1,1,1,1,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,1,0,2,0,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,0,1,3,0,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,0,0,4,1,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,1,0,5,0,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,1,0,6,0,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,0,0,7,1,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,0,1,8,0,practice
